XFLR5 v6.02 Beta

NAC642A015 Wing
T1-54.4 m/s-LLT-x0.000mm
QInf  =   54.400000 m/s
Alpha =    5.000000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    0.392683
Cy    =    0.000000
Cd    =    0.016279     ICd   =    0.009529     PCd   =    0.006751
Cl   = -2.00521e-17
Cm   =  -0.0986965
ICn   =    0.000000     PCn   =    0.000000 
XCP   =    0.058886     YCP   =    0.000000 
XNP   =    0.000000
Bend. =   41.383647

NAC642A015 Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom      CmAirf      XTrtop    XTrBot      XCP       BM
   -0.6321     0.2400    -3.986    0.116184    0.006482    0.008083   -0.029596   -0.000525     0.6294    0.6789    0.2492    0.0000
   -0.6087     0.2400    -3.135    0.213462    0.006486    0.011680   -0.054251   -0.000861     0.6053    0.7015    0.2485    0.0186
   -0.5702     0.2400    -2.467    0.288557    0.006549    0.012427   -0.072983   -0.000842     0.5772    0.7209    0.2472    0.1594
   -0.5178     0.2400    -1.972    0.344125    0.006617    0.011842   -0.086798   -0.000799     0.5545    0.7352    0.2464    0.6511
   -0.4525     0.2400    -1.612    0.384054    0.006716    0.010803   -0.096641   -0.000696     0.5339    0.7458    0.2458    1.8368
   -0.3762     0.2400    -1.358    0.412125    0.006786    0.009772   -0.103551   -0.000620     0.5194    0.7533    0.2453    4.1284
   -0.2906     0.2400    -1.186    0.431278    0.006833    0.008925   -0.108261   -0.000567     0.5094    0.7584    0.2450    7.9414
   -0.1978     0.2400    -1.074    0.443617    0.006864    0.008318   -0.111294   -0.000532     0.5030    0.7617    0.2448   13.6258
   -0.1001     0.2400    -1.012    0.450511    0.006881    0.007958   -0.112988   -0.000513     0.4994    0.7636    0.2447   21.4030
   -0.0000     0.2400    -0.991    0.452729    0.006891    0.007834   -0.113522   -0.000497     0.4974    0.7642    0.2446   41.3836
    0.1001     0.2400    -1.012    0.450511    0.006881    0.007958   -0.112988   -0.000513     0.4994    0.7636    0.2447   29.8950
    0.1978     0.2400    -1.074    0.443617    0.006864    0.008318   -0.111294   -0.000532     0.5030    0.7617    0.2448   20.5818
    0.2906     0.2400    -1.186    0.431278    0.006833    0.008925   -0.108261   -0.000567     0.5094    0.7584    0.2450   13.4379
    0.3762     0.2400    -1.358    0.412125    0.006786    0.009772   -0.103551   -0.000620     0.5194    0.7533    0.2453    8.2781
    0.4525     0.2400    -1.612    0.384054    0.006716    0.010803   -0.096641   -0.000696     0.5339    0.7458    0.2458    4.7853
    0.5178     0.2400    -1.972    0.344125    0.006617    0.011842   -0.086798   -0.000799     0.5545    0.7352    0.2464    2.5737
    0.5702     0.2400    -2.467    0.288557    0.006549    0.012427   -0.072983   -0.000842     0.5772    0.7209    0.2472    1.2566
    0.6087     0.2400    -3.135    0.213462    0.006486    0.011680   -0.054251   -0.000861     0.6053    0.7015    0.2485    0.5113
    0.6321     0.2400    -3.986    0.116184    0.006482    0.008083   -0.029596   -0.000525     0.6294    0.6789    0.2492    0.1239




