XFLR5 v6.02 Beta

NAC642A015 Wing
T1-54.4 m/s-LLT-x0.000mm
QInf  =   54.400000 m/s
Alpha =   13.500000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    0.951286
Cy    =    0.000000
Cd    =    0.075522     ICd   =    0.057273     PCd   =    0.018250
Cl   = -5.78572e-17
Cm   =   -0.218159
ICn   =    0.000000     PCn   =    0.000000 
XCP   =    0.052771     YCP   =    0.000000 
XNP   =    0.000000
Bend. =   87.131969

NAC642A015 Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom      CmAirf      XTrtop    XTrBot      XCP       BM
   -0.6321     0.2400   -10.866    0.299913    0.006562    0.056879   -0.075809   -0.000835     0.5726    0.7238    0.2470    0.0000
   -0.6087     0.2400    -8.439    0.546455    0.009085    0.080485   -0.133210    0.003072     0.2037    0.7997    0.2372    0.0479
   -0.5702     0.2400    -6.453    0.730719    0.012198    0.082300   -0.172761    0.008913     0.0334    0.8986    0.2289    0.4091
   -0.5178     0.2400    -5.175    0.864957    0.014388    0.078121   -0.205186    0.009295     0.0217    0.9794    0.2290    1.6604
   -0.4525     0.2400    -4.309    0.956632    0.016352    0.071937   -0.228449    0.008291     0.0181    1.0000    0.2302    4.6600
   -0.3762     0.2400    -3.344    1.007072    0.018411    0.058771   -0.231494    0.017141     0.0167    1.0000    0.2205   10.4219
   -0.2906     0.2400    -2.795    1.037339    0.020097    0.050607   -0.235017    0.020738     0.0161    1.0000    0.2167   19.9212
   -0.1978     0.2400    -2.446    1.054499    0.021438    0.045023   -0.236863    0.022899     0.0157    1.0000    0.2145   33.9493
   -0.1001     0.2400    -2.239    1.062451    0.022478    0.041523   -0.237418    0.024179     0.0155    1.0000    0.2131   52.9792
   -0.0000     0.2400    -2.176    1.064870    0.022794    0.040447   -0.237586    0.024568     0.0155    1.0000    0.2127   87.1320
    0.1001     0.2400    -2.239    1.062451    0.022478    0.041523   -0.237418    0.024179     0.0155    1.0000    0.2131   61.4711
    0.1978     0.2400    -2.446    1.054499    0.021438    0.045023   -0.236863    0.022899     0.0157    1.0000    0.2145   40.9053
    0.2906     0.2400    -2.795    1.037339    0.020097    0.050607   -0.235017    0.020738     0.0161    1.0000    0.2167   25.4178
    0.3762     0.2400    -3.344    1.007072    0.018411    0.058771   -0.231494    0.017141     0.0167    1.0000    0.2205   14.5716
    0.4525     0.2400    -4.309    0.956632    0.016352    0.071937   -0.228449    0.008291     0.0181    1.0000    0.2302    7.6085
    0.5178     0.2400    -5.175    0.864957    0.014388    0.078121   -0.205186    0.009295     0.0217    0.9794    0.2290    3.5830
    0.5702     0.2400    -6.453    0.730719    0.012198    0.082300   -0.172761    0.008913     0.0334    0.8986    0.2289    1.5063
    0.6087     0.2400    -8.439    0.546455    0.009085    0.080485   -0.133210    0.003072     0.2037    0.7997    0.2372    0.5406
    0.6321     0.2400   -10.866    0.299913    0.006562    0.056879   -0.075809   -0.000835     0.5726    0.7238    0.2470    0.1239




