XFLR5 v6.02 Beta

NAC642A015 Wing
T1-54.4 m/s-LLT-x0.000mm
QInf  =   54.400000 m/s
Alpha =   11.500000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    0.848338
Cy    =    0.000000
Cd    =    0.059282     ICd   =    0.044888     PCd   =    0.014394
Cl   = -3.39325e-17
Cm   =   -0.202153
ICn   =    0.000000     PCn   =    0.000000 
XCP   =    0.055202     YCP   =    0.000000 
XNP   =    0.000000
Bend. =   78.014995

NAC642A015 Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom      CmAirf      XTrtop    XTrBot      XCP       BM
   -0.6321     0.2400    -9.229    0.259194    0.006524    0.041752   -0.065683   -0.000871     0.5887    0.7131    0.2478    0.0000
   -0.6087     0.2400    -7.289    0.473632    0.007054    0.060256   -0.118412   -0.000194     0.4661    0.7705    0.2439    0.0414
   -0.5702     0.2400    -5.494    0.632630    0.010883    0.060663   -0.151749    0.005825     0.0659    0.8383    0.2328    0.3543
   -0.5178     0.2400    -4.262    0.747858    0.012462    0.055631   -0.176187    0.009680     0.0309    0.9127    0.2280    1.4378
   -0.4525     0.2400    -3.468    0.831491    0.013828    0.050332   -0.196467    0.009850     0.0237    0.9628    0.2281    4.0333
   -0.3762     0.2400    -2.948    0.891409    0.014858    0.045861   -0.212246    0.008681     0.0202    0.9905    0.2298    9.0279
   -0.2906     0.2400    -2.619    0.932420    0.015714    0.042620   -0.224018    0.006899     0.0188    0.9975    0.2318   17.3178
   -0.1978     0.2400    -2.330    0.955600    0.016316    0.038855   -0.228430    0.008066     0.0181    1.0000    0.2305   29.6576
   -0.1001     0.2400    -2.122    0.965765    0.016671    0.035769   -0.228618    0.010275     0.0178    1.0000    0.2280   46.5105
   -0.0000     0.2400    -2.061    0.968755    0.016775    0.034847   -0.228672    0.010925     0.0177    1.0000    0.2272   78.0150
    0.1001     0.2400    -2.122    0.965765    0.016671    0.035769   -0.228618    0.010275     0.0178    1.0000    0.2280   55.0025
    0.1978     0.2400    -2.330    0.955600    0.016316    0.038855   -0.228430    0.008066     0.0181    1.0000    0.2305   36.6136
    0.2906     0.2400    -2.619    0.932420    0.015714    0.042620   -0.224018    0.006899     0.0188    0.9975    0.2318   22.8143
    0.3762     0.2400    -2.948    0.891409    0.014858    0.045861   -0.212246    0.008681     0.0202    0.9905    0.2298   13.1775
    0.4525     0.2400    -3.468    0.831491    0.013828    0.050332   -0.196467    0.009850     0.0237    0.9628    0.2281    6.9818
    0.5178     0.2400    -4.262    0.747858    0.012462    0.055631   -0.176187    0.009680     0.0309    0.9127    0.2280    3.3604
    0.5702     0.2400    -5.494    0.632630    0.010883    0.060663   -0.151749    0.005825     0.0659    0.8383    0.2328    1.4515
    0.6087     0.2400    -7.289    0.473632    0.007054    0.060256   -0.118412   -0.000194     0.4661    0.7705    0.2439    0.5341
    0.6321     0.2400    -9.229    0.259194    0.006524    0.041752   -0.065683   -0.000871     0.5887    0.7131    0.2478    0.1239




