XFLR5 v6.02 Beta

NAC642A015 Wing
T1-54.4 m/s-LLT-x0.000mm
QInf  =   54.400000 m/s
Alpha =   14.000000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    0.972648
Cy    =    0.000000
Cd    =    0.079798     ICd   =    0.060076     PCd   =    0.019722
Cl   = -5.35963e-17
Cm   =   -0.220908
ICn   =    0.000000     PCn   =    0.000000 
XCP   =    0.052151     YCP   =    0.000000 
XNP   =    0.000000
Bend. =   89.026108

NAC642A015 Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom      CmAirf      XTrtop    XTrBot      XCP       BM
   -0.6321     0.2400   -11.281    0.309519    0.006573    0.060939   -0.078199   -0.000828     0.5688    0.7263    0.2469    0.0000
   -0.6087     0.2400    -8.743    0.563465    0.009549    0.085980   -0.136749    0.003744     0.1611    0.8072    0.2360    0.0494
   -0.5702     0.2400    -6.702    0.753240    0.012544    0.088109   -0.177262    0.009921     0.0301    0.9171    0.2277    0.4219
   -0.5178     0.2400    -5.452    0.890821    0.014845    0.084774   -0.212077    0.008707     0.0202    0.9904    0.2298    1.7121
   -0.4525     0.2400    -4.353    0.979458    0.017203    0.074421   -0.229227    0.012895     0.0174    1.0000    0.2251    4.8031
   -0.3762     0.2400    -3.436    1.030127    0.019585    0.061780   -0.234200    0.019864     0.0162    1.0000    0.2177   10.7257
   -0.2906     0.2400    -2.836    1.058750    0.021994    0.052398   -0.237160    0.023583     0.0156    1.0000    0.2137   20.4749
   -0.1978     0.2400    -2.449    1.074284    0.023904    0.045917   -0.238466    0.025862     0.0153    1.0000    0.2113   34.8507
   -0.1001     0.2400    -2.277    1.083209    0.024665    0.043043   -0.239855    0.026551     0.0152    1.0000    0.2106   54.3266
   -0.0000     0.2400    -2.221    1.086102    0.024911    0.042100   -0.240305    0.026774     0.0151    1.0000    0.2103   89.0261
    0.1001     0.2400    -2.277    1.083209    0.024665    0.043043   -0.239855    0.026551     0.0152    1.0000    0.2106   62.8186
    0.1978     0.2400    -2.449    1.074284    0.023904    0.045917   -0.238466    0.025862     0.0153    1.0000    0.2113   41.8067
    0.2906     0.2400    -2.836    1.058750    0.021994    0.052398   -0.237160    0.023583     0.0156    1.0000    0.2137   25.9714
    0.3762     0.2400    -3.436    1.030127    0.019585    0.061780   -0.234200    0.019864     0.0162    1.0000    0.2177   14.8754
    0.4525     0.2400    -4.353    0.979458    0.017203    0.074421   -0.229227    0.012895     0.0174    1.0000    0.2251    7.7516
    0.5178     0.2400    -5.452    0.890821    0.014845    0.084774   -0.212077    0.008707     0.0202    0.9904    0.2298    3.6346
    0.5702     0.2400    -6.702    0.753240    0.012544    0.088109   -0.177262    0.009921     0.0301    0.9171    0.2277    1.5192
    0.6087     0.2400    -8.743    0.563465    0.009549    0.085980   -0.136749    0.003744     0.1611    0.8072    0.2360    0.5421
    0.6321     0.2400   -11.281    0.309519    0.006573    0.060939   -0.078199   -0.000828     0.5688    0.7263    0.2469    0.1239




