XFLR5 v6.02 Beta

NAC642A015 Wing
T1-54.4 m/s-LLT-x0.000mm
QInf  =   54.400000 m/s
Alpha =   17.000000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    1.084248
Cy    =    0.000000
Cd    =    0.108876     ICd   =    0.076409     PCd   =    0.032467
Cl   = -4.15452e-17
Cm   =   -0.238422
ICn   =    0.000000     PCn   =    0.000000 
XCP   =    0.049738     YCP   =    0.000000 
XNP   =    0.000000
Bend. =   99.188358

NAC642A015 Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom      CmAirf      XTrtop    XTrBot      XCP       BM
   -0.6321     0.2400   -13.778    0.365563    0.006670    0.087910   -0.092084   -0.000744     0.5435    0.7409    0.2460    0.0000
   -0.6087     0.2400   -10.675    0.663370    0.011279    0.123592   -0.158523    0.006621     0.0529    0.8547    0.2318    0.0584
   -0.5702     0.2400    -8.514    0.883326    0.014695    0.131256   -0.209966    0.008990     0.0205    0.9886    0.2295    0.4972
   -0.5178     0.2400    -6.530    1.025117    0.019270    0.116839   -0.233624    0.019264     0.0163    1.0000    0.2183    2.0129
   -0.4525     0.2400    -4.848    1.104471    0.026668    0.093460   -0.243119    0.028215     0.0149    1.0000    0.2088    5.6086
   -0.3762     0.2400    -3.764    1.147746    0.033007    0.075405   -0.249459    0.031745     0.0143    1.0000    0.2047   12.4160
   -0.2906     0.2400    -3.046    1.169599    0.038093    0.062180   -0.252845    0.033223     0.0137    1.0000    0.2026   23.5122
   -0.1978     0.2400    -2.619    1.180231    0.041475    0.053957   -0.254822    0.033566     0.0134    1.0000    0.2017   39.7468
   -0.1001     0.2400    -2.381    1.184526    0.043576    0.049229   -0.255661    0.033633     0.0132    1.0000    0.2012   61.6075
   -0.0000     0.2400    -2.300    1.185462    0.044355    0.047596   -0.255857    0.033622     0.0132    1.0000    0.2011   99.1884
    0.1001     0.2400    -2.381    1.184526    0.043576    0.049229   -0.255661    0.033633     0.0132    1.0000    0.2012   70.0994
    0.1978     0.2400    -2.619    1.180231    0.041475    0.053957   -0.254822    0.033566     0.0134    1.0000    0.2017   46.7027
    0.2906     0.2400    -3.046    1.169599    0.038093    0.062180   -0.252845    0.033223     0.0137    1.0000    0.2026   29.0088
    0.3762     0.2400    -3.764    1.147746    0.033007    0.075405   -0.249459    0.031745     0.0143    1.0000    0.2047   16.5657
    0.4525     0.2400    -4.848    1.104471    0.026668    0.093460   -0.243119    0.028215     0.0149    1.0000    0.2088    8.5570
    0.5178     0.2400    -6.530    1.025117    0.019270    0.116839   -0.233624    0.019264     0.0163    1.0000    0.2183    3.9355
    0.5702     0.2400    -8.514    0.883326    0.014695    0.131256   -0.209966    0.008990     0.0205    0.9886    0.2295    1.5945
    0.6087     0.2400   -10.675    0.663370    0.011279    0.123592   -0.158523    0.006621     0.0529    0.8547    0.2318    0.5511
    0.6321     0.2400   -13.778    0.365563    0.006670    0.087910   -0.092084   -0.000744     0.5435    0.7409    0.2460    0.1239




